Category,Type,Image,Category,product_desctiption,U.O.M,Is veg,harvest_price,original_price
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,100g Baby Powder/h,-,1 pc,TRUE,70,70
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Baby Cream 50ml,-,1 pc,TRUE,70,70
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Baby Daily Wash,-,1 pc,TRUE,685,685
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Baby Dove Baby Massage Oil 200ml,-,1 unt,TRUE,199,199
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Baby Dove Bathing Bar 50gm,-,1 pkt,TRUE,32,32
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BABY DOVE RICH 3*75GMS,-,1 pc,TRUE,123,123
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Baby Dry Pants 2n,-,1 pkt,TRUE,28,28
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Baby Lips  Berry Crush,-,1 pc,TRUE,175,175
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Baby Lips  Pink  lolitha,-,1 pc,TRUE,175,175
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Baby Lips Cherry Kiss,-,1 pc,TRUE,175,175
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Baby Lotion 100ml,-,1 pc,TRUE,90,90
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BABY LOTION 200ML,-,1 btl,TRUE,155,155
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Baby Massage Oil,-,1 pc,TRUE,48,48
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BABY MASSAGE OIL 100ML,-,1 pkt,TRUE,92,92
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Baby Milk Nourshing 200ml,-,1 btl,TRUE,249,249
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BABY POWDER 200GMS,-,1 pc,TRUE,130,130
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BABY SHAMPOO 200ML,-,1 btl,TRUE,155,155
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BABY SOAP,-,1 pc,TRUE,44,44
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BABY SOAP 50G,-,1 pkt,TRUE,33,33
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BABY SOAP 75G,-,1 pkt,TRUE,40,40
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Baby Soap Blossoms,-,1 pc,TRUE,50,50
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gentle Baby Soap 300g,-,1 pkt,TRUE,156,156
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gentle Baby Wash,-,1 pc,TRUE,575,575
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,himalaya baby cream 100ml,-,1 pc,TRUE,128,128
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,himalaya baby massage oil,-,2 btl,TRUE,175,175
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Himalaya Baby Massage Oil 200ml,-,1 pkt,TRUE,175,175
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,himalaya baby powder 200g,-,1 btl,TRUE,120,120
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,himalaya baby powder 200g,-,1 btl,TRUE,130,130
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,himalaya gentle baby shampoo,-,1 pc,TRUE,48,48
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,himalaya gentle baby soap,-,1 pc,TRUE,64,64
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,himalaya gentle baby wipes,-,2 pkt,TRUE,79,79
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,himalaya nourishing baby soap,-,1 pc,TRUE,44,44
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,himalayta baby power,-,1 btl,TRUE,132,132
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,johnson baby body oil,-,1 pc,TRUE,105,105
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Johnson Baby Milk Soap 75GM,-,1 pkt,TRUE,50,50
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,johnson baby shampoo  60ml,-,1 pc,TRUE,53,53
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Johnson baby soap moist 5,-,1 pc,TRUE,30,30
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Johnsons baby hair oil,-,1 pc,TRUE,50,50
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,johnsons baby oil 100ml,-,1 btl,TRUE,105,105
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,johnsons baby oil 200ml,-,1 btl,TRUE,190,190
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Johnsons baby powder,-,1 pc,TRUE,38,38
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Johnsons baby Shampo 200ml,-,1 pc,TRUE,175,175
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Johnsons baby skin care wipes,-,1 pc,TRUE,75,75
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,johnsons baby soap,-,1 pc,TRUE,55,55
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,johnsons baby soap,-,1 pc,TRUE,62,62
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,L .BABY WIPES,-,1 pc,TRUE,49,49
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,littles baby wipes,-,1 pkt,TRUE,70,70
5f96ee3fb6627a0017e7882d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Moisturing baby soap,-,1 pkt,TRUE,48,48
