5f9da187736122db93a83561,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Product Name,product_desctiption,-,Is veg,Harvest Price,MRP
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Marie Gold- 200G,-,-,TRUE,23,23
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Britannia Treat Choco- 150grm,-,-,TRUE,30,30
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dark Fantasy Choco Fills 75g,-,-,TRUE,30,30
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GM Premium Coffe S,-,-,TRUE,50,50
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gonemad Pre Dark Choco,-,-,TRUE,50,50
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Marie Gold 250G,-,-,TRUE,30,30
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Krack Jack,-,-,TRUE,10,10
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Britannia Chocolush,-,-,TRUE,30,30
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Britania Treat Wafers Vanilla,-,-,TRUE,25,25
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BRITANNIA VITA MARIA GOLD,-,-,TRUE,40,40
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,sugar CHEESE CRACKERS,-,-,TRUE,60,60
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DARK FANTACY  CHOCO FILLS 20G,-,-,TRUE,10,10
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BOUNCE Cream CHOCO TWIST,-,-,TRUE,10,10
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,B Nutri Choice @35,-,-,TRUE,35,35
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,B Nutri Choice @35,-,-,TRUE,40,40
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SUNFEAST Marie Light Veda 10Rs Biscuits,-,-,TRUE,10,10
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chocobakes choco filled Cookies 30rs,-,-,TRUE,30,30
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chocobakes Choc Filled Cooki,-,-,TRUE,60,60
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ragi Biscuits 100G,-,-,TRUE,40,40
