5f96eec9b6627a0017e7882e,type,Image,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,AMLA HENNA & ALOE VERA SHAMPOO 175ML,-,1 pc,TRUE,89,89
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Anti Dandrubh Shampoo,-,1 pc,TRUE,30,30
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Anti Dandrubh Shampoo,-,1 pc,TRUE,40,40
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ANTI DANDRUFF ADVANCED SHAMPOO 400ML,-,1 pkt,TRUE,215,215
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ANTI DANDRUFF ADVANCED SHAMPOO 90ML,-,1 pc,TRUE,50,50
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ANTI DANDRUFF SHAMPOO 180ML,-,1 pc,TRUE,150,150
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ANTI DANDRUFF SHAMPOO 200ML,-,1 pc,TRUE,140,140
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Anti Hair Fall Shampoo,-,1 pkt,TRUE,4,4
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ANTI HAIR FALL SHAMPOO 200ML,-,1 pkt,TRUE,130,130
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ANTI HAIRFALL SHAMPOO 72ml,-,1 pc,TRUE,68,68
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ANTI LICE TREATMENT SHAMPOO 50ML,-,1 pc,TRUE,50,50
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ANTI-DANDRUFF SHAMPOO 80ML,-,1 pkt,TRUE,57,57
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ANTI-DANDRUFF SHAMPOO 80ML,-,1 pkt,TRUE,62,62
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ANTI-HAIR FALL SHAMPOO 80ML,-,1 pkt,TRUE,62,62
