Category,type,Image,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Apple Juice 1ltr,-,1 pc,TRUE,20.00,20
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,COCA COLA 250 ML,-,1 btl,TRUE,20.00,20
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fanta 250ml,-,1 btl,TRUE,20.00,20
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,FANTA 600 ML,-,1 btl,TRUE,38.00,38
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fanta juicy 250ml,-,1 pc,TRUE,20.00,25
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Giloy Juice,-,1 pc,TRUE,130.00,140
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kinely Water Bottle 1Lt,-,1 pc,TRUE,20.00,20
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,kinley soda750ml,-,1 pc,TRUE,20.00,20
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Limca 250ml,-,1 btl,TRUE,20.00,20
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Maaza 1.2l,-,1 pc,TRUE,70.00,70
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,mareydu juice,-,,TRUE,,
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Monster Ultra 350ml,-,1 pc,TRUE,110.00,110
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mosambi juice 200ml,-,1 pc,TRUE,20.00,20
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pomegranate Fruit Juice 200ml,-,1 pc,TRUE,130.00,130
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,PULPY ORANGE 1LT,-,1 btl,TRUE,75.00,75
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pulpy Orange- 250ml,-,1 btl,TRUE,20.00,20
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Real  Fruit Mango Juice 1L,-,1 pkt,TRUE,25.00,25
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,REAL ACTIV ORANGE JUICE 1LT,-,1 pc,TRUE,130.00,130
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Real Active Apple Juice,-,1 pc,TRUE,130.00,130
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Real Active Mixed Fruit Juice,-,1 pc,TRUE,100.00,100
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sprite 750ml,-,1 btl,TRUE,42.00,42
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sprite 750ml,-,1 btl,TRUE,40.00,40
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sprite Juicy+,-,1 pc,TRUE,90.00,90
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Thumsup 1litre,-,1 btl,TRUE,50.00,50
5f8fc67dcd983d607cbf6664,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Thumsup 2.25 L,-,1 pc,TRUE,95.00,95
