5fb20db6183b2d600a64f960,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,NAME,product_desctiption,UOM,Is veg,Harvest Price,MRP
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Eyetex Pallavi Kukuma,-,1 PC,TRUE,50,50
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gubb Nail Clipper,-,1 pc,TRUE,95,95
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fair &Lovely  Face Wash 100g,-,100 G,TRUE,52,52
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ponds Dreamflower Fragrant talc Pink Lily 100g,-,100 G,TRUE,300,300
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,B.MULTANIMITTI SANDAL 100GMS,-,100 MG,TRUE,45,45
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Glycerin 100gms,-,100GMS,TRUE,70,70
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gulabari  120ml,-,120 ML,TRUE,28,28
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BANJARA ROSE WATER 120ML,-,120 ML,TRUE,75,75
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ponds Dreamflower Fragrant talc Sandal 15g,-,15 G,TRUE,102,102
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fair&Lovely BB,-,15 G,TRUE,155,155
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ponds Pure White  15g,-,15 G,TRUE,85,85
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Clear Complexion Comp Wht F Wash 50ml,-,150ML,TRUE,75,75
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vlcc Neem Face Wash 150 Ml,-,150ML,TRUE,190,190
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ponds Dreamflower Fragrant talc Pink Lily 20g,-,20 G,TRUE,10,10
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,FAIR &LOVELY Face Wash20g,-,20 G ,TRUE,54,54
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ponds Dreamflower Fragrant talc Pink Lily 200g,-,200 G,TRUE,109,109
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ponds White Beauty 23g,-,23 G,TRUE,120,120
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dabur Gulabri 250ml,-,250 ML,TRUE,48,48
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Spinz B B Cream29g,-,29 G,TRUE,16,16
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ponds Cold Cream 30ml,-,30 ML,TRUE,75,75
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ponds Cold Cream 30ml,-,30 ML,TRUE,44,44
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,B.ROSE WATER 30ml,-,30 ML,TRUE,28,28
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Pond's Triple Vitamin Moisturising Body Lotion, 300ml",-,300 ML,TRUE,349,349
