5f9d981b7c6f5cdacc565aa5,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,UOM,Is veg,Harvest Price,MRP
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,KELLOGG Chocos 26 G,-,26g,TRUE,10,10
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kelloggs Muesli Fruit And Nut 500G,-,500g,TRUE,315,315
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Kellogg’s Chocos Variety Pack, 156g",-,156g,TRUE,60,60
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Kellogg's Corn Flakes Original, 250g",-,250G,TRUE,95,95
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kellogs CORN FLAKES KESAR PISTA BADAM,-,250g,TRUE,160,160
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Kellogg's All Bran Wheat Flakes, 425g",-,425g,TRUE,205,205
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg, Kellogg's Corn Flakes Original Corn Flakes 475g,-,475 g,TRUE,180,180
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kellogg's Chocofills 250g,-,250 g,TRUE,175,175
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kellogg's Chocos Mocns & Stars 375g,-,375  g,TRUE,175,175
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kelloggs Chocos 375g,-,300 g,TRUE,165,165
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg, Kellogg's Chocos Webs 300g,-,300 g,TRUE,170,170
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Kellogg's Corn Flakes Real Almond and Honey,300g
",-,300g,TRUE,170,170
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Kellogg's Corn Flakes - Strawberry  Puree, 300g Carton",-,300g,TRUE,140,140
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CORN  FLAKES  Real Almond H  300g,-,300g,TRUE,140,140
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kellogg's Chocos Crunchy Bites 375g,-,375g,TRUE,180,180
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,KELLOGS CHOCO DUET 375G,-,375G,TRUE,180,180
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,KELLOGGS RAGI CHOCOS 350G,-,350G,TRUE,180,180
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kellogg's CHOCOS 700g,-,700G,TRUE,284,284
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,kelloggs's CHOCOS LADDOO 375G,-,375g,TRUE,190,190
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kellogg's  K  Special (Multigrn)435 Gms,-,435g,TRUE,210,210
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kellogg's Chocos Magic Hearts  325g,-,325g,TRUE,185,185
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kellogg's Museli Fruit Magic500G,-,500g,TRUE,315,315
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kellogg's Museli Nuts Delight,-,500 g,TRUE,315,315
