5f96ec2db6627a0017e7882b,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,,Is veg,Harvest Price,0
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Jersey paneer 200g,-,200 g,TRUE,100,100
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Id Natural ThickmCurd,-,500 g,TRUE,65,65
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Amul Butter 100g,-,100 g,TRUE,48,48
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Amul Cheese 5Slices,-,5 slices,TRUE,71,71
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ayur Eggs 6pack,-,6 pc,TRUE,60,60
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Milky Mist Curd Dahi 50G,-,50 g,TRUE,50,50
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Panner 200G,-,200 g,TRUE,99,99
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Curd 400G,-,400 g,TRUE,50,50
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MM Chease Slices 100G,-,100 g,TRUE,75,75
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MM Chease Slices 100G,-,100 g,TRUE,70,70
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MM Chease Slices 100G,-,100 g,TRUE,75,75
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mozzarella Pizza Cheese 200G,-,200 g,TRUE,120,120
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cooking Butter 100G,-,100 g,TRUE,58,58
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Heritage DH Toned Milk,-,500 ml,TRUE,25,25
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Heritage Panner200g,-,200 g,TRUE,100,100
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Table Butter Salted 100G,-,100 g,TRUE,55,55
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Table Butter Salted 100G,-,100 g,TRUE,50,50
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Id Panner,-,100 g,TRUE,100,100
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cheese Slice 200G,-,200 g,TRUE,125,125
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Curd Dahi 200G,-,200 g,TRUE,25,25
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MM Milk Cake,-,200 g,TRUE,60,60
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MM KHOVA,-,200 g,TRUE,80,80
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MM Butter 200G,-,200 g,TRUE,104,104
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,EPI Blueberry 90GMS,-,90 g,TRUE,45,45
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Daily Fresh Poultry Eggs 6pc,-,6 pc,TRUE,45,45
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Daily Fresh Eggs 30pc,-,30 pc,TRUE,225,225
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cheese Block 200gm,-,200 g,TRUE,125,125
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Amul Butter 500G,-,500 g,TRUE,235,235
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ayur Plus Egg,-,6 pc,TRUE,75,75
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,AMUL CHEESE 200G,-,200 g,TRUE,110,110
