5fabad6b39b40d1e26b3b487,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,uom,Is veg,Harvest Price,MRP
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Almonds Badam100G,-,100 G,TRUE,100,100
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,L.I.SEED DATES 250G 50%OFF,-,250 G,TRUE,115,115
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,kimia Dates 500G,-,500 G,TRUE,310,310
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Badam 250GM,-,250 G,TRUE,240,240
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Nutraj Walnut Super Kernels,-,250 G,TRUE,650,650
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Nutraj Pista,-,250 G,TRUE,549,549
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dry Dates 40G,-,40 G,TRUE,20,20
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Alubukhara 100g,-,100 G,TRUE,50,50
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lion Arabian Dates 500g,-,500 G,TRUE,235,235
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,L.I.ARABIAN DATES 250G 50% OFF,-,250 G,TRUE,119,119
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cashew Jumbo 100G,-,100 G,TRUE,100,100
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Albukhara 100gm,-,100 G,TRUE,50,50
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,L.I.SEED DATES 500G,-,500 G,TRUE,210,210
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lion Seedless dates 200G,-,200 G,TRUE,60,60
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DESEEDED DATES 500G,-,500 G,TRUE,154,154
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,lion delicacy dates box 250g,-,250 G,TRUE,162,162
