5fb34cf30a6a3a61089bec40,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,UOM,Is veg,Harvest Price,0
5fb34cf30a6a3a61089bec40,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,lion Dates Syrup 250gms,-,250 g,TRUE,,107
5fb34cf30a6a3a61089bec40,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Navaratna Ayurvedic 200ml,-,200 ml,TRUE,,138
5fb34cf30a6a3a61089bec40,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Nivarin 90,-,1 pc,TRUE,,5
5fb34cf30a6a3a61089bec40,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg, Amrutanjan Rool on,-,1 pc,TRUE,,35
5fb34cf30a6a3a61089bec40,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Nasal Inhaler Amrutanjan,-,1 pc,TRUE,,45
5fb34cf30a6a3a61089bec40,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vicks Baby Rub,-,1 pc,TRUE,,40
5fb34cf30a6a3a61089bec40,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MOO V CREAM  REG 10GM-OINT,-,10 g,TRUE,,40
5fb34cf30a6a3a61089bec40,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Himalaya Pain Relief 100ml,-,100 ml,TRUE,,100
5fb34cf30a6a3a61089bec40,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vicks Vaporub,-,1 pc,TRUE,,20
5fb34cf30a6a3a61089bec40,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cold Balm Himalaya,-,1 pc,TRUE,,40
5fb34cf30a6a3a61089bec40,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Himalaya Pain Balm Strong 10g,-,10 g,TRUE,,35
5fb34cf30a6a3a61089bec40,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Rat Trap Trubble Gum,-,1 pc,TRUE,,100
5fb34cf30a6a3a61089bec40,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Himalaya Antiseptic Creasm,-,1 pc,TRUE,,40
5fb34cf30a6a3a61089bec40,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Krack Heal Repair,-,1 pc,TRUE,,83
5fb34cf30a6a3a61089bec40,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,VOLINI SPRY 60G STAND,-,60 g,TRUE,,190
