5f81d30b0b93470017d3aa55,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,NAME,product_desctiption,UOM,Is veg,MRP,MRP
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Jawari Ravva 500g,-,500 mg,TRUE,40,40
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Aashirvaad Superior MP ATTA 1KG,-,1 kg,TRUE,57,57
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Idly Ravva  Srilalitha 1KG,-,1 kg,TRUE,50,50
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Aashirvaad Atta Multigrain 1Kg,-,1 kg,TRUE,64,64
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pillsbury Chakki Fresh Atta 1kg,-,1 kg,TRUE,57,57
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Aashirvaad 5kg Atta,-,5 kg,TRUE,270,270
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Aashirvad atta 1kg sekect,-,1 kg,TRUE,62,62
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Srilalitha Rice Ravva 1kg,-,1 kg,TRUE,32,32
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Besan  1kg,-,1 kg,TRUE,103,103
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Annapurna Atta 1Kg,-,1 kg,TRUE,55,55
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pillsbury Chakki Atta 5kg,-,5 kg,TRUE,270,270
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Srilalitha Chakki Atta 1kg,-,1 kg,TRUE,45,45
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,VSR WHEAT RAWA 1kg,-,1 kg,TRUE,65,65
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,AASHIRVAAD SELECT ATTA 5 KG,-,5 kg,TRUE,300,300
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Red Wheat Ravva 500G,-,500 MG,TRUE,104,104
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Rice Rawa EG  500 g,-,500 MG,TRUE,34,34
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Rice Atta 500g,-,500 MG,TRUE,27,27
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Rice Atta 1 kg,-,1 kg,TRUE,53,53
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Maida 500 g,-,500 g ,TRUE,30,30
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Bombay Rawa 1kg,-,1 kg,TRUE,59,59
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Phoolmakhana 100Gm,-,100 g,TRUE,95,95
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lobia White 500g,-,500 MG,TRUE,63,63
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Udad Dall Split 500G,-,500 MG,TRUE,72,72
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,RAWPEANUTS  1KG,-,1 kg,TRUE,150,150
