5fabaca539b40d1e26b3b485,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,NAME,product_desctiption,,Is veg,Harvest Price,MRP
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Horlicks Chocolate Delight Flavour 500g,-,500 G,TRUE,221,221
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Horlicks Protein Plus 200g,-,200 g,TRUE,295,295
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Boost 3X More Stamina 750g,-,750 g,TRUE,351,351
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cadbury Bournvita Inner Strngth Formula 500 g Jar,-,500 G,TRUE,223,223
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cadbury Bournvita Inner Strngth Formula 500 gSachet,-,500 G,TRUE,223,209
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cadbury Bournvita Inner Strngth Formula 75 g,-,75 g,TRUE,30,30
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Horlicks Classic Malt 500g,-,500 G,TRUE,242,242
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Horlicks clasic malt 200g,-,200 g,TRUE,90,90
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Boost 3X More Stamina 200g,-,200 g,TRUE,90,90
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,HORLICKS PROTEIN+ VANILLA JAR 400G,-,400 g,TRUE,535,535
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Growth plus vanila 400g bic,-,400 g,TRUE,535,535
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Junior Horlicks 1-6 Years,-,,TRUE,288,288
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Horlicks 18g Sachet,-,,TRUE,5,5
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GLUCON -D JAR 500GM,-,500 G,TRUE,110,110
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GLUCON-D TANGY ORANGE 400G,-,400 g,TRUE,165,165
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GLUCON D NIMBU PANI 200G,-,200 g,TRUE,64,64
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Boost 3X More Stamina 200g,-,200 g,TRUE,110,110
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Complan Creamy Clasic 500g,-,500 G,TRUE,245,245
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Horlicks Clasic Malt 500G,-,500 G,TRUE,229,229
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MTR BADAM DRINK MIX  200GM,-,200 g,TRUE,120,120
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,COMPLAN Royal Choclate 200G,-,200 g,TRUE,115,115
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Complan Roya Chocolate500g,-,500 G,TRUE,299,299
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,.complan Kesar Badam 500gm,-,500 G,TRUE,315,315
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Complan Chocolate 500G RE,-,500 G,TRUE,280,280
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GLUCON D Instant Energy Health Drinker Tangy Orange450+50gm,-,450 g,TRUE,160,160
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Horlicks Clasic Malt 200GCM,-,200 g,TRUE,105,105
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Junior Horlicks Vanila Flavour 500G,-,500 G,TRUE,273,273
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GLUCON D Instant Energy Health Drinker Tangy Orange 200gm,-,200 g,TRUE,64,64
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Boost 3X More Stamina 500g,-,500 G,TRUE,234,234
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,COMPLAN Pista BADAM 500G,-,500 G,TRUE,315,315
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GLUCON D Instant Energy Health Drinker Regular 450+50gm,-,450 g,TRUE,105,105
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,PediaSure Premium Choclate 400g,-,400 g,TRUE,545,545
5fabaca539b40d1e26b3b485,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GLUCON D Instant Energy Health Drinker Regular 75g+50gm,-,75 g,TRUE,28,28
