5fad1d3bf5fdf9001782771b,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,UOM,Is veg,Harvest Price,0
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Telugu Tamarind Pickle,-,300 g,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,TP Redchilli Pickle,-,300 g,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Telugu picklesGongura 300G,-,300 g,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Telugu Pickles Ginger 300G,-,300 g,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,TP Lime 300G,-,300 g,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Telugu picklesMango Thokku,-,300 g,TRUE,85,85
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,AACHI APPALAM (KATTU) 100GMS,-,100 g,TRUE,36,36
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Priya Green Tamarind Jar,-,300 g,TRUE,95,95
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Exotic Pickle Green Chilli 300g,-,300 g,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,RED CHILLIES PICKLE 300G,-,300 g,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Priya GONGURA PICKLE 300g,-,300 g,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Telugu Vellulli Karam Podi,-,300 g,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Karivepaku Karam Podi,-,100 g,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,JP IDLI KARAM PODI,-,100 g,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Telugu Pudina Karam Podi 100g,-,100 g,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Telugu Kothimeera Karam Podi,-,100 g,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,priya tomato pickle,-,300 g,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,priya mango avakaya pickle,-,300 g,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kandi Podi 100gm,-,100 g,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Priya nalla karam 100gm,-,100 g,TRUE,35,35
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,priya idli Karam,-,100 g,TRUE,39,39
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Curry Leaf Powder 100g,-,100 g,TRUE,33,33
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,PriyaGarlic Pickle,-,300 g,TRUE,95,95
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Putnala Karam Podi,-,100 g,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kobbari Karam Podi 100g,-,100 g,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Nuvvula Karam Podi 100g,-,100 g,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,priya mixed Vegetable Jar 300g,-,300 g,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Priya Amla Jar,-,300 g,TRUE,90,90
