5fb21454183b2d600a64f963,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,NAME,product_desctiption,UOM,Is veg,Harvest Price,MRP
5fb21454183b2d600a64f963,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Black salt 100g,-,100 g,TRUE,20,20
5fb21454183b2d600a64f963,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Aashirvad Salt 1kg,-,1 kg,TRUE,20,20
5fb21454183b2d600a64f963,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sugar EG1kg,-,1 kg,TRUE,59,59
5fb21454183b2d600a64f963,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tata Salt Lite- 1kg,-,1 kg,TRUE,40,40
5fb21454183b2d600a64f963,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,TATA salt 1kg,-,1 kg,TRUE,20,20
5fb21454183b2d600a64f963,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sendha salt 50G,-,50 g,TRUE,12,12
5fb21454183b2d600a64f963,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tata Salt Crystal-1kg,-,1 kg,TRUE,18,18
5fb21454183b2d600a64f963,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Jaggery 450g,-,450 g,TRUE,50,50
5fb21454183b2d600a64f963,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Madhur Sugar1kg,-,1 kg,TRUE,60,60
5fb21454183b2d600a64f963,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Jaggery 450G,-,450 g,TRUE,45,45
5fb21454183b2d600a64f963,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Madhur Sugar 5kg,-,1 kg,TRUE,270,270
5fb21454183b2d600a64f963,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Go Natural Jaggery 1KG,-,1 kg,TRUE,130,130
5fb21454183b2d600a64f963,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sugar EG 2kg,-,1 kg,TRUE,118,118
5fb21454183b2d600a64f963,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tata pink salt 1kg,-,1 kg,TRUE,120,120
5fb21454183b2d600a64f963,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Parrys Amrit Jaggery Powder 500gm,-,500 mg,TRUE,45,45
5fb21454183b2d600a64f963,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Rock Salt 1kg,-,1 kg,TRUE,60,60
