5fb20f7c183b2d600a64f962,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,UOM,Is veg,Harvest Price,Selling Pric e
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dr Oetkar Veg Mayonnaise,-,100 g,TRUE,35,35
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,KSN MF JAM TUB 100G,-,100 g,TRUE,20,20
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fun Foods Veg Mayonnaise for burger,-,100 g,TRUE,35,35
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Coco With Almond 150g,-,150 g,TRUE,160,160
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chilli Vinegar 170ml,-,170 ml,TRUE,50,50
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Brewed Vinegar 180g,-,180 g,TRUE,55,55
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CHING S CHILLI CAUCE190g,-,190 g,TRUE,55,55
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DR. FNFD PIZZA TOPPING,-,200 g,TRUE,89,89
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dr.Oetkar Pasta & Pizza Sauce,-,200 g,TRUE,89,89
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kissan Fresh Tomato Ketchup,-,200 g,TRUE,60,60
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Peanut Butter Creamy 200G,-,200 g,TRUE,100,100
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tomato Ketchup,-,200 g,TRUE,45,45
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fun Foods veg mayonnaise,-,200 g,TRUE,99,99
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Weikfield Chill Vinegar 200G,-,200 g,TRUE,50,50
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Weikfield Tomato Ketchup 200g,-,200 g,TRUE,50,50
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Worcestershire Sauce 200g,-,200 g,TRUE,50,50
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CHINGS DARK SOY SAUCE 210GRM,-,210 g,TRUE,55,55
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CHINGS RED SAUCE 210GRM,-,210 g,TRUE,55,55
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,WEIK SOYA SAUCE 220G,-,220 g,TRUE,50,50
