5fb34fed0a6a3a61089bec41,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg, ,product_desctiption,,Is veg,Harvest Price,MRP
5fb34fed0a6a3a61089bec41,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sugar Free Natura Pellets (100 Pellets),-,100pellets,TRUE,65,65
5fb34fed0a6a3a61089bec41,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Sugar Free Gold Sweetener  (75 g)
",-,75g,TRUE,125,125
5fb34fed0a6a3a61089bec41,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,sugar free gold 75 sachets(37.5g),-,37.5g,TRUE,72,72
5fb34fed0a6a3a61089bec41,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,sugar free gold 75 sachets(18.75g),-,18.75g,TRUE,44,44
5fb34fed0a6a3a61089bec41,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Sugar Free Natura Cook and Bake Sweetener  (80 g)
",-,80g,TRUE,240,240
5fb34fed0a6a3a61089bec41,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sugar Free Gold - 300 Pellets,-,30g,TRUE,180,180
5fb34fed0a6a3a61089bec41,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sugar Free Natura- 200+200 Pellets,-,34g,TRUE,225,225
5fb34fed0a6a3a61089bec41,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sugar Free Natura Sweet Drops (200 Drops),-,10ML,TRUE,140,140
5fb34fed0a6a3a61089bec41,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sugar Free Gold 50Grams,-,50grams,TRUE,250,250
5fb34fed0a6a3a61089bec41,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sugar Free Gold 110 Pellets,-,11grams,TRUE,65,65
5fb34fed0a6a3a61089bec41,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sugar Free Green Meethi Tulsi Sweetener Pellets Bottle,-,200g,TRUE,165,165
5fb34fed0a6a3a61089bec41,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Britannia NutriChoice Cracker simply lite (sugar free), 100g",-,100g,TRUE,15,15
5fb34fed0a6a3a61089bec41,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Britannia NutriChoice Cracker simply lite (sugar free), 300g",-,300g,TRUE,45,45
5fb34fed0a6a3a61089bec41,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Unibic Sugar Free Cashew  (75 g),-,75g,TRUE,40,40
5fb34fed0a6a3a61089bec41,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Unibic Sugar Free Butter, 75g",-,75g,TRUE,40,40
