5fb20e85183b2d600a64f961,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,NAME,product_desctiption,UOM,Is veg,Harvest Price,MRP
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vaseline Daily Brightening Lotion 100ml,-,100ML,TRUE,99,99
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vaseline Coca Glow Body lotion 100ml,-,100ML,TRUE,99,99
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Nivea Creme, 30ml",-,30ML,TRUE,50,50
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"NIVEA Soft, Light Moisturising Cream, 200ml",-,200ML,TRUE,160,160
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dove Youthful Bounce Body lotion 100ml,-,100ML,TRUE,110,110
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dove Light Hydration Body lotion 100ml,-,100ML,TRUE,100,100
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vaseline Aloe Fresh Body lotion 100ml,-,100ML,TRUE,99,99
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"NIVEA Cocoa Nourish Body Lotion, 75ml",-,75ML,TRUE,130,130
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Nivea Aloe Hydration Body Lotion, 200ml",-,200ML,TRUE,240,240
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BODY MILK 75ML,-,75ML,TRUE,110,110
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vaseline Intensice care 50ml,-,50ML,TRUE,49,49
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Nivea Creame Tin 60ml,-,60ML,TRUE,99,99
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,NiveaAlovera Body Lotion 200ml,-,200ML,TRUE,240,240
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,NiveaBody Milk Nourishing Lotion200ml,-,100ML,TRUE,220,220
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Nivea Boby Milk Nourshing 200ml,-,200ML,TRUE,249,249
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,VAS DEEP lotion 100ml,-,100ML,TRUE,95,95
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,VASELINE ALOE FRESH 100ML,-,100ML,TRUE,115,115
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vaseline Cocoa Glow 50ML,-,50ML,TRUE,49,49
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vaseline Daily Brightening 50ML,-,50ML,TRUE,49,49
5fb20e85183b2d600a64f961,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,VaSeline Skin Protecting Jelly Original,-,50ML,TRUE,75,75
