5f9d9bcab7ad13db39fb4f44,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Item Name,product_desctiption,uom,Is veg,Harvet Price,MRP 
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Banjara's Amla Hair Care Powder (100g) - Set of 3,-,100G,TRUE,60,60
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gillette Venus Glide Strip ALOE 4Refills,-,1pc,TRUE,190,190
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Gillette Venus Breeze Hair Removal Razor for Women with Avocado Oils & Body Butter, Freesia Scent",-,1pc,TRUE,299,299
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"STAYFREE Sanitary Pads - Secure Dry Cover, with Wings, 7 Pads",-,400G,TRUE,40,40
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Women's Horlicks Health and Nutrition drink - 400g Pet Jar (Chocolate flavor),-,100G,TRUE,299,299
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Anoo's Black Export 100gm,-,60g,TRUE,130,130
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BANJARAS NATURAL HENNA 60G,-,20g,TRUE,30,30
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"BANJARA""S BLACK HENNA 20G",-,400G,TRUE,25,25
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Horlicks Women's Horlicks Health & Nutrition Drink - Caramel Flavour, No Added Sugar, 400 g Carton",-,50gm,TRUE,284,284
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Banjara'sALOOEVERA+HENNA -50GM,-,60PADS,TRUE,65,65
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Whisper Ultra Clean Sanitary Pads for Women, XL+ 42+18 Napkins",-,30 PADS,TRUE,480,480
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Whisper Ultra Clean Sanitary Pads for Women, XL+ 30 PADS",-,15 pads,TRUE,310,343
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Whisper Ultra Clean Sanitary Pads for Women, XL+ 15 PADS",-,15 PADS,TRUE,170,190
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Whisper Ultra nights Sanitary Pads for Women, XL+ 15 PADS",-,10 pads,TRUE,180,200
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Whisper Ultra nights Sanitary Pads for Women, XL+ 10 PADS",-,15 pads,TRUE,85,85
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Whisper Maxi Nights 15pads XL Wings,-,15 pads,TRUE,182,182
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Whisper Maxi Fit 15pads Regular,-,15 pads,TRUE,143,143
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,WhispernUltraSoft XL+15pads,-,30pads,TRUE,175,175
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,WhispernUltraSoft XL+30pads,-,45 PADS,TRUE,400,400
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Whisper Ultranight XL+ Buy 2 Get 1 Free,-,4 PADS,TRUE,400,400
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Whisper Ultra nights Sanitary Pads for Women, XXL+ 4 PADS",-,6PADS,TRUE,105,105
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Amrutanjan Comfy Snug Fit Sanitary Pads Packet Of 6,-,6 PADS,TRUE,22,22
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mother's Horlicks No Added Sugar Powder - Vanilla Flavour 500 gm (Refill Pack),-,500GMS,TRUE,525,525
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Garnier Black Naturals Shade Natural Burgundy 3.16 35ML,-,35ML,TRUE,80,80
