Category,type,Image,Product Name,product_desctiption,Quantity,Is veg,product_price,original_price
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Banana(Kela/Arati Pandu),-,kg,TRUE,30,35
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Royal Gala,-,kg,TRUE,279,300
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Papaya(Papitha/Boppayi),-,kg,TRUE,50,60
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pomogranate(Anaar/Danimma),-,kg,TRUE,180,220
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Big Kiwi,-,pc,TRUE,35,40
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Guava(Amrood/Jamakaya),-,kg,TRUE,80,100
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Thai Guava,-,kg,TRUE,160,180
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Green Grapes(Angoor/Draksha),-,kg,TRUE,80,100
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Black Grapes,-,kg,TRUE,60,80
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Imported Premium Orange(Santara/Kamala Pandu),-,kg,TRUE,160,200
