5f81d30b0b93470017d3aa55,type,Image,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Urad 500g,-,1 pkt,TRUE,79,83
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Batana White 500G,-,1 pkt,TRUE,60,64
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Besan 500gm,-,1 pkt,TRUE,57,59
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dry Chilli 200gm,-,1 pkt,TRUE,49,53
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Drychilli 100G,-,1 pkt,TRUE,28,28
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Elite Cake Pineapple,-,1 pc,TRUE,20,20
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Elite Chat murmura 500 g,-,1 pkt,TRUE,45,60
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Elite Choco Cake,-,1 pc,TRUE,30,30
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Elite Fine poha 500 g,-,1 pkt,TRUE,42,42
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Elite Orange Cake,-,1 pc,TRUE,20,20
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Elite rice aata 1 kg,-,1 pkt,TRUE,49,53
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Elite Vanilla Cake,-,1 pkt,TRUE,30,30
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Elite wheat rawa 500 g,-,1 pc,TRUE,35,35
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Green Peas EG 500gm,-,1 ctn,TRUE,114,116
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Groundnuts 500g,-,1 pkt,TRUE,80,95
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Groundnuts1kg,-,1 pkt,TRUE,150,190
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Idly Rava 500G,-,1 pkt,TRUE,22,23
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Jageery 450G EG,-,1 pc,TRUE,30,35
