Category,type,Image,Product Name,product_desctiption,Quantity,Is veg,product_price,original_price
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pealed Garlic,-,200gms,TRUE,70,90
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ginger(Adrak/Allam),-,kg,TRUE,90,120
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Garlic(Lahsun/Velluli),-,kg,TRUE,180,200
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lemon(Nimbu/Nimmakaya),-,3pcs,TRUE,12,15
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Coriander Leaves(Dhania Patta/Kotimera),-,bunch,TRUE,5,10
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Curry leave(Kadi Patta/Karivepaku),-,bunch,TRUE,3,5
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mint Leaves(Pudina),-,bunch,TRUE,5,8
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chilli Green(Spicy),-,kg,TRUE,80,90
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chilli White(Non Spicy),-,kg,TRUE,80,90
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Bajji Mirchi(White),-,kg,TRUE,80,100
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Bajji Mirchi(Green),-,kg,TRUE,80,100
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Spring Onion,-,Bunch,TRUE,10,15
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chukka kura,-,bunch,TRUE,7,10
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fenugreek(Methi/Mentikura),-,bunch,TRUE,7,10
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Thotakura(Amaranthus),-,Bunch,TRUE,3,5
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gongura(Roselle Leaves),-,bunch,TRUE,3,5
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,basale leaf (Bachali kura),-,bunch,TRUE,3,5
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Munagaaku(Moringa Leave),-,Bunch,TRUE,10,15
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Spinach(Palakura),-,bunch,TRUE,5,8
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Aloe Vera - Organically grown,-,pc,TRUE,40,50
5f9a3164561c210017456fb3,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Neem Leafs,-,bunch,TRUE,10,15
