5fa2e89a616c2500174a5333,type,Image,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cold Pressed Safflower Oil,-,1 btl,TRUE,340,360
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cold Pressed Coconut Oil 1l,-,1 pc,TRUE,420,460
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dabur Honey 130g,-,1 pc,TRUE,62,62
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pro Nature Cold Pressed Ground nut oil 500ml,-,1 btl,TRUE,260,260
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Freedom SF OIL 1litre,-,1 pkt,TRUE,110,114
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Freedom SF OIL 1litre,-,1 pkt,TRUE,125,130
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,FREEDOM SF OIL PET BOTTLE,-,1 btl,TRUE,114,117
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,FREEDOM SF OIL PET BOTTLE,-,1 btl,TRUE,148,153
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fortune Mustard Oil500ml,-,1 pkt,TRUE,85,91
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB BUFF GHEE 500 ML Jar,-,1 pc,TRUE,337,337
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB BUFF GHEE 500 ML Jar,-,1 pc,TRUE,325,325
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vijaya Groundnet Oil 1litre,-,1 pc,TRUE,139,172
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sundrop,-,1 pkt,TRUE,195,195
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cold Pressed Black Sesame Oil,-,1 btl,TRUE,390,425
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB BUFF Ghee 200ml,-,1 pc,TRUE,142,142
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cold Pressed White Sesame oil 1l,-,1 btl,TRUE,390,425
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB COW Ghee 200ML,-,1 pc,TRUE,142,136
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB COW Ghee 200ML,-,1 pc,TRUE,137,131
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB COW Ghee 100ML,-,1 pc,TRUE,77,77
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB COW Ghee 100ML,-,1 pc,TRUE,80,80
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB COW Ghee 100ML,-,1 pc,TRUE,78,78
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mangalmai Poojaoil 900ml Petbtle,-,1 btl,TRUE,112,114
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mangalmai Poojaoil 900ml Petbtle,-,1 btl,TRUE,125,150
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dabur Honey Squeezy 400g Buy 1 Get 1 Free,-,1 pc,TRUE,290,290
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"COW""S GHEE 1 KG",-,1 btl,TRUE,565,565
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,COW GHEE 500ML,-,1 btl,TRUE,295,295
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vijaaya SF OIL 1 Ltr,-,1 pkt,TRUE,108,117
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vijaaya SF OIL 1 Ltr,-,1 pkt,TRUE,125,134
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,FREEDOM SF OIL  5LTR CAN,-,1 cn,TRUE,650,710
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Durga 100 Ml,-,1 pc,TRUE,67,67
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Durga 200 Ml POUCH,-,1 pkt,TRUE,126,126
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Durga 200 Ml POUCH,-,1 pkt,TRUE,132,132
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Durga Ghee 500 ml POUCH,-,1 pkt,TRUE,325,325
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Grb Buff Ghee,-,1 pc,TRUE,663,663
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB Cow Ghee 1lit,-,1 pc,TRUE,663,663
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,TEZ MUSTARD OIL - 500ML,-,1 pc,TRUE,90,90
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cow Gee,-,1 pkt,TRUE,43,43
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SUNDROP REFINED 3 LTR BOTTLE,-,1 cn,TRUE,504,614
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,OLEEV ACTIVE OIL 1L,-,1 pkt,TRUE,185,185
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Priya Rice Oil 1liter,-,1 pkt,TRUE,117,130
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Priya Rice Oil 1liter,-,1 pkt,TRUE,129,138
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fortune Sf Oil 1ltr,-,1 pkt,TRUE,125,173
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vijaya Ghee500ml,-,1 pkt,TRUE,259,259
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,COW GHEE 200ML,-,1 pc,TRUE,125,125
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,cold pressed sunflower oil,-,1 pkt,TRUE,130,130
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,FREEDOM  GROUNDNUT OIL 1LT,-,1 pkt,TRUE,165,170
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Golddrop SF 1litre,-,1 pkt,TRUE,112,115
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SUNDROP 5L,-,1 cn,TRUE,1015,1015
