5fad1c36f5fdf90017827719,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,weight,Is veg,salePrice,maxRetailPrice
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Masoordal 500 Gms,-,1 pkt,TRUE,114.00,118
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chanadal 250GM,-,1 kg,TRUE,22.00,22
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chanadal 250GM,-,1 kg,TRUE,50.00,50
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Soya Chunks 200g Pro,-,1 pkt,TRUE,58.00,60
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Brown Sugar 500g,-,1 pkt,TRUE,78.00,78
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Moon Yellow 500g,-,1 pkt,TRUE,162.00,162
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DALIYA BROKEN WHEAT 500G,-,1 pkt,TRUE,60.00,60
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pro Nature Organic Rice Flour 500g,-,1 pkt,TRUE,56.00,56
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Roasted Chana Dal 200G,-,1 pkt,TRUE,50.00,50
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Turdal 500G,-,1 pkt,TRUE,106.00,106
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Masoor Dal 500G,-,1 pkt,TRUE,105.00,105
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Wheat Flour 500G,-,1 pkt,TRUE,48.00,48
