5fad1d3bf5fdf9001782771b,type,Image,Name,product_desctiption,weight,Is veg,salePrice,maxRetailPrice
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Telugu Tamarind Pickle,-,1 pc,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,TP Redchilli Pickle,-,1 pc,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Telugu picklesGongura 300G,-,1 pc,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Telugu Pickles Ginger 300G,-,1 btl,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,TP Lime 300G,-,1 btl,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Priya Amla Jar,-,1 btl,TRUE,85,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,priya mixed Vegetable Jar 300g,-,1 btl,TRUE,85,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Priya Green Tamarind Jar,-,1 btl,TRUE,90,95
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,PriyaGinger 300GMS,-,1 btl,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Exotic Pickle Green Chilli 300g,-,1 btl,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,priyaCoriandar pickel 300g,-,1 btl,TRUE,95,95
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,PriyaKARELA PICKLE 300G,-,1 btl,TRUE,90,95
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,RED CHILLIES PICKLE 300G,-,1 btl,TRUE,85,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Priya GONGURA PICKLE 300g,-,1 btl,TRUE,85,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Telugu Vellulli Karam Podi,-,1 pkt,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Karivepaku Karam Podi,-,1 pkt,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kakarakaya Karam Podi 100g,-,1 pkt,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Putnala Karam Podi,-,1 pkt,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Drum Stick Pickle 300G,-,1 btl,TRUE,85,85
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Telugu picklesMango Thokku,-,1 btl,TRUE,85,85
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lemon Pickle BUY 1 Get 1 Free,-,1 pkt,TRUE,30,30
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Red Chilli Pickle Buy 1 Get 1 Free,-,1 pkt,TRUE,30,30
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mango Avakai Pickle Buy 1 Get 1 Free,-,1 pkt,TRUE,30,30
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mango Avakai Pickle Buy 1 Get 1 Free,-,1 pkt,TRUE,30,30
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mango Thokku Pickles Buy 1 Get 1 Free,-,1 pkt,TRUE,30,30
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gongura Garlic Buy 1 Get 1 Free,-,1 pkt,TRUE,30,30
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tomato Garlic Pickle 100G Buy 1 Get 1 Free,-,1 pkt,TRUE,30,30
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Green Chilli Lime Pickle Buy 1 Get 1 Free,-,1 pkt,TRUE,30,30
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,JP Chicken Masala 50G,-,1 pkt,TRUE,35,35
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,JP MEAT MASALA 50GM,-,1 pkt,TRUE,45,45
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,JP Sambar Powder 50GM,-,1 pkt,TRUE,35,35
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,JP NALLA KHARAM PODI 100G,-,1 pkt,TRUE,45,45
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,JP IDLI KARAM PODI,-,1 pkt,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,JP RASAM Powder,-,1 pkt,TRUE,35,35
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,JP CURRY LEAF POWDER,-,1 pkt,TRUE,45,45
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kobbari Karam Podi 100g,-,1 pkt,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Telugu Pudina Karam Podi 100g,-,1 pkt,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Telugu Kothimeera Karam Podi,-,1 pkt,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Palli Karam Podi 100g,-,1 pkt,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,priya tomato pickle,-,1 btl,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,priya mango avakaya pickle,-,1 btl,TRUE,90,90
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Nuvvula Karam Podi 100g,-,1 pkt,TRUE,40,40
5fad1d3bf5fdf9001782771b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kandi Podi 100gm,-,1 pkt,TRUE,40,40
