5f911cd1f42c3271a80a2292,type,Image,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Rice Ravva Idly Batter,-,1 pkt,TRUE,75,75
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,iD Malbar Parota,-,1 pc,TRUE,75,75
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tomatp Pasta with Chicken,-,1 pkt,TRUE,125,125
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MAGGI VEG ATTA N-290G,-,1 pc,TRUE,86,86
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Penne Wholewheat,-,1 pkt,TRUE,210,210
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Priya Gulab Jamun- 180grm,-,180 grm,TRUE,110,110
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Yippee SiX one masala Noodles 420g,-,1 pkt,TRUE,68,68
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Biryani kit Hyderabadi 375g,-,1 pc,TRUE,125,125
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Yippe Noodles Four in one,-,1 pkt,TRUE,46,46
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mtr Vada 200g,-,1 pkt,TRUE,105,105
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Id Dosa Batter 1KG,-,1 pc,TRUE,75,75
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,id Chapati 1O,-,1 pc,TRUE,70,70
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Wheat Parota Id 5N,-,1 pc,TRUE,75,75
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Knorr Thick Tomato Soup,-,1 pc,TRUE,55,55
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Knorr Mixed Vegetable Soup,-,1 pc,TRUE,55,55
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Knorr Sweet Corn V Soup,-,1 pc,TRUE,55,55
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MTR Gulab Jamun Mix100g,-,1 pkt,TRUE,80,80
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ITC Frozen Alphabytes Fun With Provision,-,1 pkt,TRUE,145,175
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,knorr hot&sour veg,-,1 pc,TRUE,10,10
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cup A Soup Mixed Vegetable 10gm,-,1 pkt,TRUE,10,10
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gulab Jamun,-,1 pc,TRUE,53,105
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ACT 2 MAGIC BUTTER,-,1 pkt,TRUE,10,10
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ACT 2 CHILLI SURPRISE,-,1 pkt,TRUE,10,10
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CHINGS SCHEZWAN NOODLES,-,1 pc,TRUE,15,15
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ching's Hot Garlic N/Noodles 60g,-,1 pc,TRUE,10,10
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chings Hakka EGG Noodles,-,1 pkt,TRUE,32,32
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dosa Mix 500 gm,-,1 pkt,TRUE,120,120
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MAGGI CUPPA MANIA MASALA 70 GM,-,1 pkt,TRUE,45,45
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MAGGI CUP A MANIA CHILLI,-,1 pc,TRUE,45,45
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SAFFOLA MASALA OATS VEGGIE TWIST 39GM,-,1 pkt,TRUE,15,15
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pazzta Mushroom Penne,-,1 pc,TRUE,25,25
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pani Puri-Pani Paste,-,1 pkt,TRUE,25,25
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CHINGS SWEET CORN VEG INSTANT SOUP 15GM,-,1 pc,TRUE,10,10
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CHINGS MANCHOW SOUP,-,1 pkt,TRUE,10,10
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Safola Masala oats 38G CURRY&PEP,-,1 pkt,TRUE,15,15
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mas&coriand Oats,-,1 pkt,TRUE,15,15
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Del Monte Penne Rigate Pasta,-,1 pkt,TRUE,175,175
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MTR RICE IDLI 500GM,-,1 pkt,TRUE,110,110
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pasta Spaghetti,-,1 pkt,TRUE,175,175
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gulab Jamun Ready Mix 500g,-,1 pkt,TRUE,220,220
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tomato Chatpata,-,1 pkt,TRUE,10,10
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Act Butter Flavour,-,1 btl,TRUE,70,70
