5fad1c90f5fdf9001782771a,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,weight,Is veg,salePrice,maxRetailPrice
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Green Chilli Rice Papad- 1pkt,-,1 pkt,TRUE,50,50
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,INDIAGATE BASMATI RICE Dubar 1KG,-,1 pkt,TRUE,120,123
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sri lalitha Green Rice 10kg,-,1 pkt,TRUE,550,700
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sri lalitha red rice 10kg,-,1 pkt,TRUE,550,700
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sri Lalitha Brown Rice 5Kg Bag,-,1 bag,TRUE,320,350
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,sonamsaorice,-,1 pkt,TRUE,55,60
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,hmtrice 25kgs bag,-,1 pkt,TRUE,1250,1500
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DOSARICE,-,1 pc,TRUE,45,45
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,COW RICE 25KG,-,1 bag,TRUE,1250,1250
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Priya Rice Bran Oil,-,1 pc,TRUE,115,142
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kohinoor Dubar Basmati Rice,-,1 pc,TRUE,125,125
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kohinoor Basmati Rice  Tibar 1kg,-,1 pc,TRUE,130,135
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,KOHINOOR S VALUE BSMT RICE 1KG,-,1 pkt,TRUE,160,165
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kohinoor Royale Basmati Rice 1kg,-,1 pc,TRUE,169,179
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Basmatirice Gold 1kg,-,1 pc,TRUE,125,125
