5f9d9fe2736122db93a83560,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GLYCERINE  50gms,-,1 pkt,TRUE,135,135
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GLYCERINE  50gms,-,1 pkt,TRUE,40,40
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MR WHITE-PWD 500GM,-,1 pkt,TRUE,38,38
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mr.White 1KG,-,1 pkt,TRUE,75,75
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Exo Safal Steel Scruber,-,1 pc,TRUE,15,15
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MAXO INCENSE STICKS,-,1 pc,TRUE,20,20
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,kachra sock garbage 19*21,-,1 pc,TRUE,75,85
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,kachra sock garbage 24*32,-,1 pkt,TRUE,90,99
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,V.G.Dustar Plus,-,1 pc,TRUE,59,59
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,S.B .Sketch pen Junior,-,1 pkt,TRUE,20,20
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,S.B.Chain pounch Square 40,-,1 pkt,TRUE,40,40
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SB.Fun colouring book,-,1 pc,TRUE,30,30
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Wax crayons,-,1 pc,TRUE,28,30
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SB.Eraser printed MRP 6,-,1 pc,TRUE,6,6
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SB.Trnpt scalencharacter 30cm 20,-,1 pc,TRUE,20,20
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SB.Foam Sticker Assorted Rs.60,-,1 pc,TRUE,50,60
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fun coluring book,-,1 pc,TRUE,20,20
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Batman Fun colouring book,-,1 pc,TRUE,20,20
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Doraeman sharpener rs60,-,1 pc,TRUE,60,60
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pencil Sharpner 20 Units,-,1 pkt,TRUE,60,60
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,V.G SUPERCLIPNDUSTPSN,-,1 pc,TRUE,65,75
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,VG.A1.Plastic kharth,-,1 pc,TRUE,79,95
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,V.G.Popular Single Hockey,-,1 pc,TRUE,99,120
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,VG .POPULAR DUST PAN,-,1 pc,TRUE,35,40
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Margo 4 GET 1 FREE,-,1 pkt,TRUE,120,120
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,HENKO TOP LOAD1kg,-,1 pc,TRUE,225,225
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fevicol 105g,-,1 pc,TRUE,35,35
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fevicol 105g,-,1 pc,TRUE,45,45
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Camlin Long Unruled Note book 172 pages,-,1 pc,TRUE,50,50
