5fad207ef5fdf9001782771d,type,Image,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BRU GOLD COFFEE,-,1 pkt,TRUE,10,10
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BRU INSTANT COFFE Rs 3 PK,-,1 pkt,TRUE,3,3
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,COFFE CHOCOLATE  250ML,-,1 pc,TRUE,75,75
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Coffe Flavour Almnd,-,1 pkt,TRUE,45,45
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,COFFY BITE,-,1 pkt,TRUE,5,5
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cothas coffe,-,1 pkt,TRUE,48,48
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Creamy Coffe,-,1 pc,TRUE,10,10
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Decotion Coffee,-,1 pkt,TRUE,50,50
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GM Premium Coffe S,-,1 pkt,TRUE,50,50
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GN Premium Coffee Bar,-,1 pkt,TRUE,50,50
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Id Coffe,-,1 pc,TRUE,95,95
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Id Filter Coffe,-,1 pkt,TRUE,10,10
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,IRISH COFFE IBAR 40ML,-,1 pc,TRUE,30,30
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Levista Instant coffe 50G,-,1 pkt,TRUE,88,88
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lotte CoffeBite Classic,-,1 pkt,TRUE,50,50
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lotte Coffee Bite 418g Pack,-,1 pkt,TRUE,100,100
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tata coffe Grand FC 200G,-,1 pc,TRUE,70,70
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,TATAVCOFFE GRAND,-,1 pkt,TRUE,85,85
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,TATA TETLEY GREEN TEA 100G,-,1 pkt,TRUE,120,120
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,3  ROSES   TEA  500 G,-,1 pc,TRUE,300,300
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,3 ROSES TEA 100GRM,-,1 pkt,TRUE,65,65
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Agni Assam Tea 250gm,-,1 pkt,TRUE,65,65
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Agni Leaf Tea 250g,-,1 pc,TRUE,85,85
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Agni Tata Tea,-,1 pc,TRUE,25,25
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Anti Dandruff Tea Tree 400ml,-,1 btl,TRUE,245,245
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,assam tea,-,1 pkt,TRUE,280,375
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,assam tea,-,1 pkt,TRUE,0,135
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Assam Tea,-,1 pc,TRUE,150,150
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Brooke Bond Red Label Tea,-,1 pc,TRUE,5,5
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chakragold Premium Tea 250G,-,1 pkt,TRUE,150,145
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chakragold Premium Tea 250G,-,1 pkt,TRUE,155,155
