Category,Type,Image,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5f96ef11b6627a0017e7882f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Buy Harpic Toilet Cleaner Free,-,1 pkt,TRUE,180,212
5f96ef11b6627a0017e7882f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dabur Sanifresh ultra shine toilet clener 200ml,-,1 pkt,TRUE,36,36
5f96ef11b6627a0017e7882f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MrMuscle Toilet Cleaner,-,1 pc,TRUE,75,75
5f96ef11b6627a0017e7882f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Koti toilet brush dura double clean,-,1 pc,TRUE,69,75
5f96ef11b6627a0017e7882f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Domex Thick Toilet C,-,1 btl,TRUE,85,85
5f96ef11b6627a0017e7882f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Harpic Power Plus Dis Toilet Cleaner,-,1 pc,TRUE,168,168
5f96ef11b6627a0017e7882f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Domex Toilet Cleaner PWDR,-,1 pc,TRUE,10,10
5f96ef11b6627a0017e7882f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ALLOUT SPRAY 425ML,-,1 pc,TRUE,176,176
5f96ef11b6627a0017e7882f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Odonil Spray Ocean Breeze,-,1 pkt,TRUE,149,149
5f96ef11b6627a0017e7882f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Odonil Air Sanitizer Spray,-,1 pc,TRUE,199,199
5f96ef11b6627a0017e7882f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Odonil Spray Sandal Bouquet,-,1 pkt,TRUE,149,149
5f96ef11b6627a0017e7882f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Odonil Spray Lavender Mist,-,1 pc,TRUE,149,149
5f96ef11b6627a0017e7882f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Bleaching Powder 500g,-,1 pkt,TRUE,16,18
5f96ef11b6627a0017e7882f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Bleaching Powder 500g,-,1 pkt,TRUE,38,40
5f96ef11b6627a0017e7882f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Bleaching Powder 200g,-,1 pkt,TRUE,16,18
5f96ef11b6627a0017e7882f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BB Bleaching Powder,-,1 pkt,TRUE,45,45
