Category,type,Image,product_name,product_desctiption,quantity,Isveg,product_price,original_price,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Onion(Pyaaz/Ullipaya),-,KG,true,89,100,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Potato(Aloo/Bangaladumpa),-,KG,true,49,60,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tomato,-,kg,true,49,60,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Carrot(Gajar),-,KG,true,120,140,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lady's Finger(Bhindi/Bendakaya),-,KG,true,70,80,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fresho Capsicum(Shimla Mirchi),-,kg,true,90,100,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Round French Beans,-,kg,true,100,120,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cluster Beans(Gawar Phali),-,KG,true,80,100,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,European Cucumber(Kheera/Dosakaya),-,KG,true,60,80,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Long Brinjal(Baingan/Vankaya),-,kg,true,60,80,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cabbage(Patta Gobi),-,kg,true,70,80,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Califlower(Phool Gobi/Gobi Puvvu),-,PC,true,45,60,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Beet Root ,-,kg,true,69,80,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Rawbanana,-,pc,true,12,15,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ridge Gourd,-,kg,true,80,90,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Drumstick( Sahjan/Munagakaya),-,Pc,true,10,15,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sweet Potato,-,kG,true,60,80,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Colocasia(Kachalu/Chama Dumpalu),-,kg,true,60,80,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Capsicum(Shimla Mirchi),-,Kg,true,80,90,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Bharata Brinjal(Baingan/Vankaya),-,KG,true,90,100,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cowpea Beans(Lobia Phaliyaan),-,kg,true,80,100,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Round Green Brinjal,-,kg,true,60,80,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Bottle Gourd(Lauki),-,pc,true,40,50,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Green Pumpkin(Kaddoo/Gummadikaya),-,pc,true,70,80,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Brinjal Green ,-,kg,true,60,80,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Raw Papaya(Kaccha Papita/Pachi Boppaya),-,kg,true,50,60,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sweet Corn,-,PC,true,15,20,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Bitter Gourd(Kakarakaya),-,kg,true,80,100,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Desi Cucumber(Kheera/Dosakaya),-,kg,true,40,50,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mangalore Cucumber(Kheera/Dosakaya),-,kg,true,60,80,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Broad Beans(Chikkudukai),-,kg,true,90,100,
