5f9d9bcab7ad13db39fb4f44,type,Image,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,WHISPER CHOICE EXTRA LONG,-,1 pkt,TRUE,36,36
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,stay free,-,10 pc,TRUE,40,40
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Stay Free Reg,-,1 pkt,TRUE,28,28
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,STAYFREE DRY MAX ULTRATHI,-,1 pkt,TRUE,330,330
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,STAYFREE SECURE DRY  XL WINGS 7,-,1 pkt,TRUE,40,40
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Stayfree Secure DRY WINGS,-,1 pkt,TRUE,30,30
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Stayfree Secure EL,-,1 pkt,TRUE,30,30
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,STAYFREE SECURE UT  XL 40 Pads,-,1 pkt,TRUE,199,199
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Stayfree Secure Wings XL,-,1 pkt,TRUE,35,35
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vcare hair removal foam 50ml,-,1 pc,TRUE,186,186
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,whisper,-,1 pc,TRUE,400,400
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Whisper Choice Alovera 28rs,-,1 pc,TRUE,28,28
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Whisper Choice Regular WI,-,1 pkt,TRUE,29,29
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,WHISPER CHOICE ULTRA 20 P,-,1 pkt,TRUE,123,123
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Whisper Choice Ultra 6,-,1 pc,TRUE,42,42
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Whisper Choice Ultra20,-,1 pkt,TRUE,133,133
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Whisper Choice Wing 20,-,1 pkt,TRUE,85,85
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Whisper Choice Wing 7,-,1 pkt,TRUE,30,30
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Whisper Choice XL Wings 6f,-,1 pkt,TRUE,36,36
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Whisper Maxinights,-,1 pkt,TRUE,182,182
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,whisper u c 15 xl pads,-,1 pkt,TRUE,143,143
